timestamp,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,sa,sb,sc,sd,tx-voltage,timer1,timer2
3480,33,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2480,0
3484,34,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,34,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2484,0
3488,35,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,35,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2488,0
3492,37,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,37,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2492,0
3496,38,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,38,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2496,0
3500,39,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,39,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2500,0
3504,40,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,40,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2504,0
3508,40,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,40,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2508,0
3512,40,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,40,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2512,0
3516,40,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,40,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2516,0
3520,40,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,40,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2520,0
3524,40,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,40,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2524,0
3528,40,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,40,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2528,0
3532,40,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,40,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2532,0
3536,41,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,41,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2536,0
